id,starts,ends,duration,session_id,trial_id,t0,prod_onset_t0,prod_onset,prod_offset,stim_onset,stim_offset,prod_offset_t0,stim_onset_t0,stim_offset_t0
69,46193.2262638667,46206.685371746,13.4591078793019,2,9,46199.2262638667,0,46199.2262638667,46200.685371746,NaN,NaN,1.45910787930188,NaN,NaN
70,46198.5779131481,46211.6115974771,13.0336843289988,2,10,46204.5779131481,0,46204.5779131481,46205.6115974771,NaN,NaN,1.03368432899879,NaN,NaN
71,46203.6421367406,46217.0423155133,13.4001787727029,2,11,46209.6421367406,0,46209.6421367406,46211.0423155133,NaN,NaN,1.40017877270293,NaN,NaN
72,46208.8576580742,46222.2421370849,13.3844790106959,2,12,46214.8576580742,0,46214.8576580742,46216.2421370849,NaN,NaN,1.38447901069594,NaN,NaN
73,46214.1074688919,46227.6386556785,13.5311867865967,2,13,46220.1074688919,0,46220.1074688919,46221.6386556785,NaN,NaN,1.53118678659666,NaN,NaN
74,46219.4966675847,46232.9802750926,13.4836075079002,2,14,46225.4966675847,0,46225.4966675847,46226.9802750926,NaN,NaN,1.48360750790016,NaN,NaN
75,46224.9069659771,46238.2240960089,13.317130031799,2,15,46230.9069659771,0,46230.9069659771,46232.2240960089,NaN,NaN,1.31713003179902,NaN,NaN
76,46230.651229318,46244.0640078997,13.4127785817036,2,16,46236.651229318,0,46236.651229318,46238.0640078997,NaN,NaN,1.41277858170361,NaN,NaN
77,46235.9923187519,46249.3232285747,13.3309098227983,2,17,46241.9923187519,0,46241.9923187519,46243.3232285747,NaN,NaN,1.33090982279828,NaN,NaN
78,46241.045872541,46254.472350915,13.426478374,2,18,46247.045872541,0,46247.045872541,46248.472350915,NaN,NaN,1.426478374,NaN,NaN
79,46246.6959772861,46260.2261640879,13.5301868017996,2,19,46252.6959772861,0,46252.6959772861,46254.2261640879,NaN,NaN,1.53018680179957,NaN,NaN
80,46252.1862444933,46265.605682974,13.4194384806979,2,20,46258.1862444933,0,46258.1862444933,46259.605682974,NaN,NaN,1.41943848069786,NaN,NaN
81,46257.1382698061,46270.5186088796,13.3803390735047,2,21,46263.1382698061,0,46263.1382698061,46264.5186088796,NaN,NaN,1.38033907350473,NaN,NaN
82,46262.2974219517,46275.6366316488,13.3392096971002,2,22,46268.2974219517,0,46268.2974219517,46269.6366316488,NaN,NaN,1.33920969710016,NaN,NaN
83,46267.3806752906,46280.6898554429,13.3091801522969,2,23,46273.3806752906,0,46273.3806752906,46274.6898554429,NaN,NaN,1.3091801522969,NaN,NaN
84,46272.2066324953,46285.5640819158,13.3574494205022,2,24,46278.2066324953,0,46278.2066324953,46279.5640819158,NaN,NaN,1.35744942050223,NaN,NaN
85,46277.5759014902,46291.0243995304,13.4484980401976,2,25,46283.5759014902,0,46283.5759014902,46285.0243995304,NaN,NaN,1.44849804019759,NaN,NaN
86,46283.0665086689,46296.3845186874,13.3180100185054,2,26,46289.0665086689,0,46289.0665086689,46290.3845186874,NaN,NaN,1.31801001850545,NaN,NaN
87,46288.0811930435,46301.4555422078,13.3743491642963,2,27,46294.0811930435,0,46294.0811930435,46295.4555422078,NaN,NaN,1.37434916429629,NaN,NaN
88,46293.251035058,46306.5058660342,13.2548309761987,2,28,46299.251035058,0,46299.251035058,46300.5058660342,NaN,NaN,1.25483097619872,NaN,NaN
89,46298.6601734486,46312.2106799423,13.5505064936951,2,29,46304.6601734486,0,46304.6601734486,46306.2106799423,NaN,NaN,1.55050649369514,NaN,NaN
90,46303.9122742431,46317.3560023556,13.4437281124992,2,30,46309.9122742431,0,46309.9122742431,46311.3560023556,NaN,NaN,1.44372811249923,NaN,NaN
